 Malaysia,8.2,6.8,1.7,0.8,0.6,0.4,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0
 Maldives,54.5,52.7,43.5,29.6,19.6,17.5,16.2,14.6,13.2,12.4,11.3,10.2,9.6,8.9
 Mali,94.9,94.1,86,78.9,79.6,80,80,79.9,79.6,76.6,78.1,77.4,76.7,76.1
 Mauritania,63.7,49.4,38.8,33.6,23.8,22.1,20.4,19,17.8,17.6,17.3,17,16.5,15.9
 Mauritius,5,3.6,2,1.4,0.9,0.9,0.9,0.8,0.8,0.7,0.6,0.6,0.5,0.5
 Mexico,18.8,21.6,19.6,16,13.3,12.2,11.2,11.8,12.2,10.7,9.5,9.1,8.7,8.3
 Moldova (Republic of),42.4,46.5,61.9,34.2,1.8,1.3,1,0.7,0.4,0.4,0.4,0.3,0.4,0.3
 Mongolia,29.8,29.8,43,12.1,5.1,2.4,1.3,1.1,1,1.4,2.1,2,2,2
 Montenegro,0.7,2.1,0.8,0.5,0.3,0.3,0.6,0.8,0.3,0.3,0.3,0.3,0.3,0.3
 Morocco,17.8,22.3,26.5,20.9,11.3,10.1,9.2,8.2,7.4,6.8,6.4,5.8,5.4,5
 Mozambique,92.4,92.5,93.2,91.8,86.9,85.6,84,82.1,79.8,78.1,77.1,76,74.9,73.8
 Myanmar,65.7,63,56.6,48,36.7,34.6,32.6,30.6,28.7,26.5,23.7,21,19,17.1
 Namibia,54.6,48.3,42.8,39.8,32.6,29,25.9,25.5,21.3,16,13.8,14.6,15,14.6
 Nepal,85.3,84,77.8,65.3,46.3,45,43.5,42,40.5,39.2,38,36.3,34.8,33.4
 Nicaragua,39.9,37,36.3,36,31.4,31,30.4,29.7,29.3,27.8,26.3,24.8,23.9,23
 Niger,92.4,92.1,91,88.9,83.2,81,79.5,77.7,75.5,75.2,75,74.7,74.3,73.8
 Nigeria,72,76.2,76.9,73.8,72.4,71.8,69.7,67.3,65.9,65.1,64.1,63.4,62.8,62
 North Macedonia,0.9,0.9,0.6,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
 Oman,2.2,0.9,0.5,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
 Pakistan,72.9,71.8,70,56.5,46.6,44.3,42.8,39.3,36.3,33.3,31.6,29.8,28.2,27.2
" Palestine, State of",3.8,3.4,2,1.7,1.1,1,1,1,1.1,1.1,1.2,1.5,1.4,1.4
 Panama,25.1,19,15,13.9,6.5,4.5,5.8,4.2,4.4,3,3.5,2.7,2.5,2.3
 Papua New Guinea,73.2,69.7,76,72.1,61.5,60.3,58.4,56.8,53,50.5,49.1,47.9,46.7,44.8
 Paraguay,20.3,17.6,13,10.2,8.7,8.7,7.3,2.8,3.3,2.9,3.1,1.8,1.7,1.6
 Peru,39.3,35,31,31.7,16.9,15.2,14,13,12.1,11.8,11.5,11.2,10.2,9.5
 Philippines,49.6,45.3,39.3,37.5,33.1,34.5,35,32.7,31.3,29.2,25.9,22.5,20.2,18.3
 Qatar,3.7,1.6,0.4,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
 Russian Federation,4.6,6.7,5.6,1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
 Rwanda,92.4,91.8,91.3,86.4,82.5,81.7,82.1,80.9,78.9,78.2,77.6,77.1,75.5,74.2
 Saudi Arabia,0.6,0.6,0.4,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
 Senegal,87.4,84.7,79.1,69.9,67.3,67.3,66.6,65.9,65,64.1,63.2,62.1,61,60
 Serbia,1.1,2.2,1.4,2.9,0.8,0.6,0.5,0.5,0.4,0.3,0.3,0.3,0.2,0.2
 Sierra Leone,83.8,85.7,85.7,86.1,83.5,82.7,81.2,79.5,78,78.4,77.5,76.8,76,75.2
 Singapore,1.2,0.6,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
 Solomon Islands,74.6,70.9,69.3,67.7,61.1,58.6,57.1,55.6,54.7,53.1,52.3,51.3,50.1,49.1
 Somalia,88.9,89.1,88.7,87.9,86.7,86.4,86.3,86.2,86.2,86.1,86,86,86,85.9
 South Africa,30.7,33,32.5,28.4,17.3,17.2,17.3,17.4,17.4,17.9,17.9,17.6,17.4,17.1
